ID,Land,Valuta,VS,Afbeelding,Lat,Lng
0,Zambia,Zambibwaanse Kwacha,ZMK,zambia,-13.13390,27.84933
1,Verenigde Arabische Emiraten,Dirham,AED,vae,23.42408,53.84782
2,Afghanistan,Afghani,AFN,afghanistan,33.93911,67.70995
3,Albanië,Albaanse Lek,ALL,albanie,41.15333,20.16833
4,Armenië,Armeense Dram,AMD,armenie,40.06910,45.03819
5,Nederlandse Antillen,Antilliaanse gulden,ANG,nla,12.15738,-68.96104
6,Angola,Angolese Kwanza,AOA,angola,-11.20269,17.87389
7,Argentinië,Argentijnse Peso,ARS,argentinie,-38.41610,-63.61667
8,Australië,Australische Dollar,AUD,australie,-25.27440,133.77514
9,Aruba,Arubaanse Florin,AWG,aruba,12.52111,-69.96834
10,Azerbeidzjaan,Azerbeizjaanse Manat,AZN,azerbeidzjan,40.14310,47.57693
11,Bosnië en Herzegovina,Bosnische Mark,BAM,bosnie,43.91589,17.67908
12,Barbados,Barbados Dollar,BBD,barbados,13.19389,-59.54320
13,Bangladesh,Bangladese Taka,BDT,bangladesh,23.68499,90.35633
14,Bulgarije,Bulgaarse lev,BGN,bulgarije,42.73388,25.48583
15,Bahrein,Bahrein Dinar,BHD,bahrein,26.06670,50.55770
16,Burundi,Burundese Frank,BIF,burundi,-3.37306,29.91889
17,Bermuda,Bermuda Dollar,BMD,bermuda,32.30780,-64.75050
18,Brunei,Brunei Dollar,BND,brunei,4.53528,114.72767
19,Bolivia,Boliviaanse Voliviano,BOB,bolivia,-16.29015,-63.58865
20,Brazilië,Braziliaanse Real,BRL,brazilie,-14.23500,-51.92528
21,Bahamas,Bahamaanse Dollar,BSD,bahamas,25.03428,-77.39628
22,Bhutan,Bhutaanse Ngultrum,BTN,bhutan,27.51416,90.43360
23,Botswana,Botswana Pula,BWP,botswana,-22.32847,24.68487
24,Wit-Rusland,Wit-Russische Roebel,BYR,witrusland,53.70981,27.95339
25,Belize,Belize Dollar,BZD,belize,17.18988,-88.49765
26,Canada,Canadese Dollar,CAD,canada,56.13037,-106.34677
27,Congo,Congolese Frank,CDF,congo,-0.22802,15.82766
28,Zwitserland,Zwitserse Frank,CHF,zwitserland,46.81819,8.22751
29,Chili,Chileense Peso,CLP,chili,-35.67515,-71.54297
30,China,Chinese Yuan,CNY,china,35.86166,104.19540
31,Colombia,Colombiaanse Peso,COP,colombia,4.57087,-74.29733
32,Costa Rica,Costa Ricaanse Colon,CRC,costarica,9.74892,-83.75343
33,Cuba,Cubaanse Peso,CUP,cuba,21.52176,-77.78117
34,Kaapverdië,Kaapverdische Escudo,CVE,kaapverdie,15.12173,-23.60508
35,Tsjechië,Tsjechische Kroon,CZK,tsjechie,49.81749,15.47296
36,Djibouti,Djiboutiaanse Frank,DJF,djibouti,11.82514,42.59027
37,Denemarken,Deense Kroon,DKK,denemarken,56.26392,9.50178
38,Dominicaanse Republiek,Dominicaanse Peso,DOP,dominicaan,18.73569,-70.16265
39,Algerijë,Algerijnse Dinar,DZD,algerije,27.22573,2.49295
40,Estland,Estse Kroon,EEK,estland,58.59527,25.01361
41,Egypte,Egyptische pond,EGP,egypte,26.82055,30.80250
42,Ethiopië,Ethiopië Birr,ETB,ethiopie,9.14500,40.48967
43,Fiji,Fiji Dollar,FJD,fiji,-17.71337,178.06503
44,Falklandeilanden,Falklandse Pond,FKP,falkland,-51.79625,-59.52361
45,Groot Britannië,Britse Pond,GBP,grbr,53.82600,-2.42200
46,Georgië,Georgische Lari,GEL,georgie,42.31541,43.35689
47,Ghana,Ghanese Cedi,GHS,ghana,7.94653,-1.02319
48,Gibraltar,Het Pond van Gibraltar,GIP,gibraltar,36.14075,-5.35358
49,Gambia,Gambiaanse dalasi,GMD,gambia,13.44318,-15.31014
50,Guinea,Guineese Frank,GNF,guinea,9.94559,-9.69665
51,Guatamala,Guatemalese Quetzal,GTQ,guatamala,15.78347,-90.23076
52,Guyane,Guianese Dollar,GYD,guyane,3.93389,-53.12578
53,Hong Kong,Hong Kong Dollar,HKD,hongkong,22.39643,114.10950
54,Honduras,Honduras Lempira,HNL,honduras,15.20000,-86.24191
55,Kroatië,Kroatische Kuna,HRK,kroatie,45.10000,15.20000
56,Haiti,Haiti Groude,HTG,haiti,18.97119,-72.28521
57,Hongarijë,Hongaarse Forint,HUF,hongarije,47.16249,19.50330
58,Indonesië,Indonesische Rupiah,IDR,indonesie,-0.78927,113.92133
59,Israel,Israel Shekel,ILS,israel,31.04605,34.85161
60,India,India Rupees,INR,india,20.59368,78.96288
61,Iraq,Iraq Dinar,IQD,iraq,33.22319,43.67929
